"Presentation / Pack Level","VMP / VMPP/ AMP / AMPP","BNF Code","BNF Name","SNOMED Code","DM+D: Product Description","Strength","Unit Of Measure","DM+D: Product and Pack Description","Pack","Sub-pack"
"Presentation","VMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","325443009","Prednisolone 5mg gastro-resistant tablets",5,,,,
"Pack","VMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","1308311000001101","Prednisolone 5mg gastro-resistant tablets",5,"tablet","Prednisolone 5mg gastro-resistant 28 tablets",28,
"Pack","VMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","1104911000001102","Prednisolone 5mg gastro-resistant tablets",5,"tablet","Prednisolone 5mg gastro-resistant 30 tablets",30,
"Pack","VMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","1185811000001109","Prednisolone 5mg gastro-resistant tablets",5,"tablet","Prednisolone 5mg gastro-resistant 100 tablets",100,
"Pack","VMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","4208811000001108","Prednisolone 5mg gastro-resistant tablets",5,"tablet","Prednisolone 5mg gastro-resistant 500 tablets",500,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","662011000001105","Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","1427411000001106","Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (A A H Pharmaceuticals Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","15510211000001109","Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (A A H Pharmaceuticals Ltd) 30 tablets",30,"3 x 10 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","5057611000001100","Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (A A H Pharmaceuticals Ltd) 100 tablets",100,"10 x 10 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","4749711000001106","Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (A A H Pharmaceuticals Ltd) 500 tablets",500,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","512811000001108","Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","1427611000001109","Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Accord Healthcare Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","17067911000001100","Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Accord Healthcare Ltd) 30 tablets",30,"3 x 10 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","4683811000001100","Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Accord Healthcare Ltd) 100 tablets",100,"10 x 10 tablets"
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","447211000001105","Prednisolone 5mg gastro-resistant tablets (Kent Pharma (UK) Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","11925411000001101","Prednisolone 5mg gastro-resistant tablets (Kent Pharma (UK) Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Kent Pharma (UK) Ltd) 28 tablets",28,"2 x 14 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","1427811000001108","Prednisolone 5mg gastro-resistant tablets (Kent Pharma (UK) Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Kent Pharma (UK) Ltd) 100 tablets",100,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","255211000001101","Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","13654511000001109","Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Alliance Healthcare (Distribution) Ltd) 28 tablets",28,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","1428411000001105","Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Alliance Healthcare (Distribution) Ltd) 30 tablets",30,"3 x 10 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","18033111000001109","Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Alliance Healthcare (Distribution) Ltd) 100 tablets",100,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","4208911000001103","Prednisolone 5mg gastro-resistant tablets (Approved Prescription Services Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","4209011000001107","Prednisolone 5mg gastro-resistant tablets (Approved Prescription Services Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Approved Prescription Services Ltd) 500 tablets",500,
"Presentation","AMP",,,"13245911000001103","Prednisolone 5mg gastro-resistant tablets (Dowelhurst Ltd)",5,,,,
"Pack","AMPP",,,"13246011000001106","Prednisolone 5mg gastro-resistant tablets (Dowelhurst Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Dowelhurst Ltd) 28 tablets",28,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","15176111000001100","Prednisolone 5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","15176311000001103","Prednisolone 5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)",5,"tablet","Prednisolone 5mg gastro-resistant (Sigma Pharmaceuticals Plc) 28 tablets",28,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","17916811000001103","Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","17917011000001107","Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Phoenix Healthcare Distribution Ltd) 30 tablets",30,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","17999611000001109","Prednisolone 5mg gastro-resistant tablets (Phoenix Labs Ltd)",5,,,,
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","17999811000001108","Prednisolone 5mg gastro-resistant tablets (Phoenix Labs Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Phoenix Labs Ltd) 30 tablets",30,"2 x 15 tablets"
"Pack","AMPP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","17999711000001100","Prednisolone 5mg gastro-resistant tablets (Phoenix Labs Ltd)",5,"tablet","Prednisolone 5mg gastro-resistant (Phoenix Labs Ltd) 100 tablets",100,
"Presentation","AMP","0603020T0AAAGAG","Prednisolone 5mg gastro-resistant tablets","18307211000001104","Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd)",5,,,,
