"V1","V2","V3","V4","V5","V6"
"C810","0","C8100","Nodular lymphocyte predominant Hodgkin lymphoma, unsp site","Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","1","C8101","Nodlr lymphocy predom Hdgkn lymph, nodes of head, face, & nk","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","2","C8102","Nodular lymphocy predom Hodgkin lymphoma, intrathorac nodes","Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","3","C8103","Nodular lymphocyte predom Hodgkin lymphoma, intra-abd nodes","Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","4","C8104","Nodlr lymphocy predom Hdgkn lymph, nodes of axla and upr lmb","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","5","C8105","Nodlr lymphocy predom Hdgkn lymph,nodes of ing rgn & low lmb","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","6","C8106","Nodular lymphocyte predom Hodgkin lymphoma, intrapelv nodes","Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","7","C8107","Nodular lymphocyte predominant Hodgkin lymphoma, spleen","Nodular lymphocyte predominant Hodgkin lymphoma, spleen","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","8","C8108","Nodular lymphocyte predom Hodgkin lymphoma, nodes mult site","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites","Nodular lymphocyte predominant Hodgkin lymphoma"
"C810","9","C8109","Nodlr lymphocy predom Hdgkn lymph, extrnod & solid org site","Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites","Nodular lymphocyte predominant Hodgkin lymphoma"
"C811","0","C8110","Nodular sclerosis Hodgkin lymphoma, unspecified site","Nodular sclerosis Hodgkin lymphoma, unspecified site","Nodular sclerosis Hodgkin lymphoma"
"C811","1","C8111","Nodular scler Hodgkin lymph, nodes of head, face, and neck","Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck","Nodular sclerosis Hodgkin lymphoma"
